Date,Open,High,Low,Close,Volume,Adj Close
12/31/2012,288.1,289.45,286,286.8,2282600,277.51
12/28/2012,287.2,290,287.2,289.4,3384100,280.03
12/27/2012,292.5,292.75,287.5,288.4,7102100,279.06
12/26/2012,287.5,291,285.65,290.5,4318500,281.09
12/25/2012,287.05,287.05,287.05,287.05,0,277.76
12/24/2012,289.4,290.75,286.4,287.05,4884700,277.76
12/21/2012,285.65,289.45,281.5,287.05,23694500,277.76
12/20/2012,289.95,290.1,286.05,287.1,7645200,277.8
12/19/2012,292.35,295.4,288.75,290.1,10130600,280.71
12/18/2012,293.6,296,290.1,293.1,4238100,283.61
12/17/2012,293.55,295,291.75,293.05,3785400,283.56
12/14/2012,292.65,296.9,290.25,295.95,4475100,286.37
12/13/2012,305.1,305.4,292.3,295.25,12277700,285.69
12/12/2012,303.4,306.5,303.35,305.95,4651900,296.04
12/11/2012,301.95,305.7,301.05,303.3,5700600,293.48
12/10/2012,300.6,302.65,298,301.95,2708000,292.17
12/7/2012,300.75,303,298.85,301.5,3417300,291.74
12/6/2012,298.45,302.2,295,301.35,5905400,291.59
12/5/2012,294.6,298.95,294.6,297.9,5943200,288.26
12/4/2012,294.75,296.2,293,295.15,3084300,285.59
12/3/2012,297.5,298.3,294.15,296.15,3659000,286.56
11/30/2012,296.15,299,293.8,298.5,5711100,288.84
11/29/2012,294.05,299.95,293.65,298,10348800,288.35
11/28/2012,294.25,294.25,294.25,294.25,0,284.72
11/27/2012,287.1,295,287,294.25,6230400,284.72
11/26/2012,287.75,288,285,287.1,1428600,277.8
11/23/2012,288.95,288.95,282.9,286.6,2534400,277.32
11/22/2012,287.45,289.25,284.6,289,4088300,279.64
11/21/2012,280.55,287.25,278.6,286.1,5518400,276.84
11/20/2012,283.5,284.75,279.2,280.55,4478900,271.47
11/19/2012,274.05,282.7,273,281.7,5485100,272.58
11/16/2012,277.5,281.05,273.15,274.65,5472200,265.76
11/15/2012,282.85,282.85,275.55,276.45,8138200,267.5
11/14/2012,283.8,283.8,283.8,283.8,0,274.61
